id;question_text;option_a;option_b;option_c;correct_option
1.1;Pour le Chardonnay, quel système de taille ne peut-on pas pratiquer ?;Guyot;Chablis;Vallée de la Marne;c
1.2;Le chevauchement entre 2 ceps est :;Admis si aucun contact entre les bois ne s’opère;Admis si aucun bois fructifère ne se superpose;Interdit dans tous les cas;c
1.3;Un courson c’est :;Un bois fructifère court taillé à 1, 2 ou 3 yeux;Un bois fructifère taillé à 4 ou 5 yeux;Un bois fructifère taillé à plus de 5 yeux;a
1.4;Quelle est la règle générale concernant le nombre de charpentes d’un Chablis ?;3 charpentes par pied quelle que soit la distance de plantation;2 charpentes et un lancement par pied;1 charpente maximum par 30 cm;c
1.5;Mon bourgeon terminal est installé à 0,60 m. En Guyot arcure, quelle est la hauteur d’installation maximale du fil le plus haut ?;60 cm;70 cm;80 cm;c
1.6;A combien d’yeux peut-on tailler au maximum le lancement du Cordon de Royat ?;6 yeux;8 yeux;Non limités;c
1.7;En Guyot double, combien d’yeux maximum d’une baguette peuvent-ils être couchés sur le fil ?;4 yeux;6 yeux;8 yeux;b
1.8;Quelle est la charge maximale du prolongement dans la taille de la Vallée de la Marne ?;6 yeux francs;5 yeux francs;4 yeux francs;a
1.9;Pour diminuer les risques de T.M.S. il est conseillé de choisir un sécateur selon la taille de la main.;FAUX;VRAI;;b
1.10;Un cep vigoureux a des sarments :;Nombreux et de fort diamètre;En faible quantité et de fort diamètre;Peu développés et de diamètre faible;a
